window_start,window_end,kind,horizon,as_of,symbol,anchor_close,venue_quote,fair_value,reopen,quote_move_bps,fair_move_bps,realised_bps,err_lighthouse_bps,err_venue_bps,err_lastclose_bps,lam_common,lam_idio,n_train
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RSOXXUSDT,357.66,358.58,358.9576,358.99,25.72,36.28,37.19,0.91,11.46,37.19,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RSPYUSDT,685.8799,686.53,686.9703,686.0,9.48,15.9,1.75,14.15,7.73,1.75,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RSTXUSDT,426.0,427.98,428.544,425.0,46.48,59.72,-23.47,83.19,69.95,23.47,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RTLTUSDT,89.5396,89.37,89.4867,89.44,-18.94,-5.9,-11.12,5.22,7.82,11.12,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RTQQQUSDT,49.32,49.56,49.59,49.39,48.66,54.75,14.19,40.56,34.47,14.19,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RTSLAUSDT,410.21,411.46,411.6014,410.95,30.47,33.92,18.04,15.88,12.43,18.04,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RVOOUSDT,630.7439,631.37,631.8006,631.2,9.93,16.75,7.23,9.52,2.7,7.23,1.2,0.55,26
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RAAPLUSDT,261.38,261.21,261.2757,261.35,-6.5,-3.99,-1.15,2.84,5.36,1.15,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RAMDUSDT,203.03,202.89,202.9128,203.99,-6.9,-5.77,47.28,53.06,54.18,47.28,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RAMZNUSDT,205.4,205.51,205.4264,205.6,5.36,1.28,9.74,8.45,4.38,9.74,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RAVGOUSDT,334.6,333.52,334.0019,335.34,-32.28,-17.88,22.12,39.99,54.39,22.12,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RBABAUSDT,154.5101,152.53,153.5133,151.7,-128.15,-64.52,-181.87,117.36,53.72,181.87,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RCDEUSDT,24.03,24.02,24.0131,24.1,-4.16,-7.03,29.13,36.16,33.29,29.13,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RCRMUSDT,185.76,186.59,186.1478,186.34,44.68,20.88,31.22,10.35,13.46,31.22,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RCRWVUSDT,97.6,97.51,97.5256,97.14,-9.22,-7.62,-47.13,39.51,37.91,47.13,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,REWZUSDT,38.8699,38.71,38.7859,38.81,-41.14,-21.6,-15.41,6.19,25.73,15.41,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RGEVUSDT,835.0,835.98,835.32,840.97,11.74,3.83,71.5,67.67,59.76,71.5,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RGOOGLUSDT,305.1399,305.48,305.2608,306.99,11.15,3.96,60.63,56.67,49.49,60.63,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RHLUSDT,22.8199,22.81,22.8037,23.03,-4.34,-7.12,92.07,99.19,96.41,92.07,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RHOODUSDT,75.7338,75.7,75.6948,76.55,-4.46,-5.15,107.77,112.92,112.24,107.77,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RINTCUSDT,44.57,44.54,44.5446,44.75,-6.73,-5.7,40.39,46.09,47.12,40.39,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RIVVUSDT,688.55,688.81,688.6127,689.62,3.78,0.91,15.54,14.63,11.76,15.54,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RJPMUSDT,308.25,308.67,308.4281,308.74,13.63,5.78,15.9,10.12,2.27,15.9,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RLITEUSDT,638.0,639.5,638.6842,639.26,23.51,10.72,19.75,9.02,3.76,19.75,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RMETAUSDT,646.6,646.15,646.2992,646.27,-6.96,-4.65,-5.1,0.45,1.86,5.1,1.2,0.5,27
2026-02-19T20:00:00-05:00,2026-02-20T04:00:00-05:00,overnight,0.25,2026-02-19T22:00:00-05:00,RMRVLUSDT,79.71,79.79,79.7359,80.32,10.04,3.25,76.53,73.27,66.49,76.53,1.2,0.5,27
